Date,Day,Tata Comm Open Price,Mtnl Open Price,Reliance Open Price,Airtel Open Price,Vodafone Open Price,Tata CommnHigh Price,Mtnl High Price,Reliance High Price,Airtel High Price,Vodafone High Price, Tata Commn Low Price,Mtnl Low Price,Reliance Low Price,Airtel Low Price,Vodafone Low Price,Tata Commn Close Price,Mtnl Close Price,Reliance Close Price,Airtel Close Price,Vodafone Close Price,Tata Commn No. of Trades,Mtnl No. of Trades,Reliance No. of Trades,Airtel No. of Trades,Vodafone No. of Trades
1-Jan-21,Friday,1100,14,2,510.6,10.72,1100,14,2.03,516.25,11.33,1080.8,13.65,1.96,508.25,10.61,1094.7,13.73,2.01,515.1,11.2,373,973,2871,4975,81780
31-Dec-20,Thursday,1080.35,13.85,2.01,515.95,10.16,1104.95,14.2,2.03,518.45,10.91,1061.1,13.74,1.99,506.6,10.14,1100.2,13.83,2.01,509.3,10.64,1215,1118,2015,8045,115133
30-Dec-20,Wednesday,1035,13.6,2.04,523,10.31,1082,13.65,2.05,523,10.35,1035,13.28,1.97,513.35,10.07,1077.05,13.48,2.03,515.95,10.22,834,393,2152,7839,89592
29-Dec-20,Tuesday,1071.5,13.7,2,521.95,10.42,1078,14.1,2.06,525,10.5,1044.5,13.33,1.97,515.1,10.15,1069.95,13.54,2.04,520.25,10.29,600,1155,2224,4591,57253
28-Dec-20,Monday,1070,14.3,2.05,520,10.18,1080,14.35,2.05,526.95,10.56,1053,13.68,1.97,516.9,10.15,1064.1,13.79,1.97,521.55,10.38,735,1748,4384,5024,83560
24-Dec-20,Thursday,1075,14.7,2.1,519.05,10.52,1139.95,14.8,2.16,522.95,10.6,1056.55,13.35,1.99,510.35,9.94,1069.25,13.9,2.07,517.05,10.1,4181,4101,6541,25334,148097
23-Dec-20,Wednesday,1011,13.15,1.91,501.5,9.49,1060,15.05,2.07,509.4,10.68,1001.1,13.11,1.89,498.5,9.41,1048.35,14.56,2.07,507.35,10.56,1326,6703,5915,4769,319294
22-Dec-20,Tuesday,958.3,14.48,1.98,492,9.22,1013.45,14.66,1.98,505,9.59,887.15,12.31,1.98,485.6,8.9,1003.95,13.16,1.98,500.25,9.52,1093,7373,1176,14831,91310
21-Dec-20,Monday,997.05,14.4,2.08,510,9.99,1016.75,15.58,2.08,511.25,10.04,898.05,13.5,2.08,480.35,8.9,957.15,14.48,2.08,490.15,9.22,3182,10322,1173,10252,64432
18-Dec-20,Friday,1043.7,11.15,2.18,514.9,9.89,1043.7,13.23,2.18,514.9,10.11,990,10.7,2.18,505.3,9.71,997.45,12.99,2.18,510.6,9.84,1916,14098,954,3935,99573
17-Dec-20,Thursday,1055.2,10.9,2.29,518.1,9.95,1058.3,11.7,2.29,522.6,10.23,1039.1,10.85,2.29,512,9.85,1041.55,11.03,2.29,514.9,9.93,536,11455,1054,7185,57502
16-Dec-20,Wednesday,1035.2,10.97,2.41,504.4,9.92,1057.05,11.25,2.41,518.35,10.13,1032.3,10.92,2.41,502,9.83,1049.25,10.97,2.41,516.1,9.98,591,7698,1143,18841,64455
15-Dec-20,Tuesday,1016.1,11.15,2.79,507.8,10.03,1044.45,11.23,2.79,507.8,10.05,1016.1,10.83,2.53,498,9.73,1037.85,10.97,2.53,504.25,9.9,2586,10641,2959,4281,88037
14-Dec-20,Monday,1040,11.15,2.66,507.05,10.3,1049.95,11.51,2.66,511.8,10.39,1028,10.75,2.56,501.2,9.92,1030.35,11.22,2.66,502.95,10.06,902,5135,5879,5940,113595
11-Dec-20,Friday,1016,10.99,2.54,508,9.83,1048.35,11.5,2.54,508.25,10.35,1012.45,10.69,2.48,497.1,9.73,1037.15,10.91,2.54,504.05,10.11,635,11442,2602,11725,71411
10-Dec-20,Thursday,1040.4,10.95,2.42,503,9.9,1068,11.2,2.42,508.7,10.09,1027.6,10.49,2.2,494,9.66,1032.65,10.88,2.42,505.2,9.85,616,10873,11754,5325,74636
