Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,2.00,2.03,1.96,2.01,1.999980965323384082,11610389,2871,23220557.00,6574245,56.62,0.07,0.01
31-December-2020,2.01,2.03,1.99,2.01,2.010185640614552917,4480916,2015,9007473.00,3672416,81.96,0.04,0.00
30-December-2020,2.04,2.05,1.97,2.03,2.005614416704286225,6820477,2152,13679247.00,3848192,56.42,0.08,-0.01
29-December-2020,2.00,2.06,1.97,2.04,2.044898679891105178,13433513,2224,27470173.00,6780022,50.47,0.09,0.04
28-December-2020,2.05,2.05,1.97,1.97,1.976180304262637292,11167523,4384,22069039.00,6201127,55.53,0.08,-0.08
24-December-2020,2.10,2.16,1.99,2.07,2.077531805791576922,19573322,6541,40664199.00,10329876,52.78,0.17,-0.03
23-December-2020,1.91,2.07,1.89,2.07,2.037178769216042148,21122781,5915,43030881.00,12400870,58.71,0.18,0.16
22-December-2020,1.98,1.98,1.98,1.98,1.979999213363824849,889865,1176,1761932.00,889865,100.00,0.00,0.00
21-December-2020,2.08,2.08,2.08,2.08,2.079999949897477713,798363,1173,1660595.00,797363,99.87,0.00,0.00
18-December-2020,2.18,2.18,2.18,2.18,2.179999548643532767,708974,954,1545563.00,708974,100.00,0.00,0.00
17-December-2020,2.29,2.29,2.29,2.29,2.289998889638833197,801541,1054,1835528.00,801541,100.00,0.00,0.00
16-December-2020,2.41,2.41,2.41,2.41,2.409999474314057151,646774,1143,1558725.00,646774,100.00,0.00,0.00
15-December-2020,2.79,2.79,2.53,2.53,2.681638816368706581,7195315,2959,19295236.00,6620104,92.01,0.26,-0.26
14-December-2020,2.66,2.66,2.56,2.66,2.644613770030099218,23996636,5879,63461834.00,18781395,78.27,0.10,0.00
11-December-2020,2.54,2.54,2.48,2.54,2.537801396406713092,10583736,2602,26859420.00,9506863,89.83,0.06,0.00
10-December-2020,2.42,2.42,2.20,2.42,2.373724493274029737,54275292,11754,128834590.00,34756210,64.04,0.22,0.00
9-December-2020,2.31,2.31,2.19,2.31,2.302191808215446553,27723776,4923,63825450.00,20859640,75.24,0.12,0.00
8-December-2020,2.10,2.10,2.03,2.10,2.097205689781222049,10138316,2244,21262134.00,8086763,79.76,0.07,0.00
7-December-2020,1.91,1.91,1.86,1.91,1.907256449017152327,9130306,1645,17413835.00,8283173,90.72,0.05,0.00
4-December-2020,1.74,1.74,1.74,1.74,1.739999918154853249,2688003,711,4677125.00,2688003,100.00,0.00,0.00
3-December-2020,1.59,1.66,1.57,1.66,1.647892972901499148,5914091,962,9745789.00,5081123,85.92,0.09,0.07
2-December-2020,1.56,1.60,1.54,1.59,1.579029804576605659,4055451,2714,6403678.00,2690670,66.35,0.06,0.03
1-December-2020,1.63,1.63,1.58,1.60,1.601156145634306770,3486239,6332,5582013.00,2114357,60.65,0.05,-0.03
27-November-2020,1.65,1.65,1.61,1.63,1.626380251357354612,2811535,1913,4572625.00,1965711,69.92,0.04,-0.02
26-November-2020,1.68,1.69,1.61,1.65,1.630915664176396743,4974695,1350,8113308.00,3344557,67.23,0.08,-0.03
25-November-2020,1.71,1.73,1.62,1.63,1.677666188604881002,10729436,2538,18000412.00,7029003,65.51,0.11,-0.08
24-November-2020,1.64,1.65,1.56,1.65,1.612330151964230363,9378457,2110,15121169.00,5412931,57.72,0.09,0.01
23-November-2020,1.50,1.58,1.48,1.58,1.545047592153416289,7355099,1512,11363978.00,3962156,53.87,0.10,0.08
20-November-2020,1.51,1.54,1.50,1.51,1.513318563851017185,2074548,2542,3139452.00,1452213,70.00,0.04,0.00
19-November-2020,1.52,1.56,1.49,1.53,1.529693240052449230,4114455,878,6293854.00,2142188,52.06,0.07,0.01
18-November-2020,1.53,1.53,1.48,1.52,1.509588318663681750,3196963,1308,4826098.00,2102916,65.78,0.05,-0.01
17-November-2020,1.55,1.55,1.46,1.51,1.505032110480508389,4165151,1018,6268686.00,2818640,67.67,0.09,-0.04
14-November-2020,1.49,1.56,1.47,1.52,1.516591690130732424,3871878,591,5872058.00,2958052,76.40,0.09,0.03
13-November-2020,1.45,1.51,1.43,1.49,1.464598637652847271,4678690,2272,6852403.00,2749237,58.76,0.08,0.04
12-November-2020,1.51,1.53,1.46,1.47,1.477251638042529366,4586572,1074,6775521.00,2819126,61.46,0.07,-0.04
11-November-2020,1.54,1.54,1.50,1.51,1.513618232746432382,3529386,1286,5342143.00,2012297,57.02,0.04,-0.03
10-November-2020,1.45,1.56,1.42,1.51,1.501817035902280657,6130864,1916,9207436.00,3539192,57.73,0.14,0.06
9-November-2020,1.55,1.55,1.45,1.49,1.487439715599172070,2437405,1358,3625493.00,2437405,100.00,0.10,-0.06
6-November-2020,1.42,1.52,1.42,1.52,1.482037567209679470,2036723,1252,3018500.00,2036723,100.00,0.10,0.10
5-November-2020,1.43,1.49,1.43,1.45,1.457684385920251787,2030917,1392,2960436.00,2030917,100.00,0.06,0.02
4-November-2020,1.41,1.54,1.41,1.50,1.483861181860208548,1724011,859,2558193.00,1724011,100.00,0.13,0.09
3-November-2020,1.47,1.51,1.45,1.47,1.465613965815758715,2289476,980,3355488.00,2289476,100.00,0.06,0.00
2-November-2020,1.59,1.59,1.52,1.52,1.527142985618592013,2412907,791,3684854.00,2412907,100.00,0.07,-0.07
30-October-2020,1.69,1.75,1.59,1.60,1.631922228391112864,3762607,1330,6140282.00,3762607,100.00,0.16,-0.09
29-October-2020,1.70,1.79,1.65,1.67,1.675539138059113290,3882308,1462,6504959.00,3882308,100.00,0.14,-0.03
28-October-2020,1.73,1.73,1.70,1.73,1.726694487223424288,5118038,1666,8837288.00,5118038,100.00,0.03,0.00
