Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,1100.00,1100.00,1080.80,1094.70,1092.333894878706199460,2968,373,3242047.00,1417,47.74,19.20,-5.30
31-December-2020,1080.35,1104.95,1061.10,1100.20,1091.963529154837300720,13737,1215,15000303.00,9074,66.06,43.85,19.85
30-December-2020,1035.00,1082.00,1035.00,1077.05,1070.470931666803716799,12161,834,13017997.00,5425,44.61,47.00,42.05
29-December-2020,1071.50,1078.00,1044.50,1069.95,1063.311429076134958487,5661,600,6019406.00,2575,45.49,33.50,-1.55
28-December-2020,1070.00,1080.00,1053.00,1064.10,1066.314198705748001522,13135,735,14006037.00,4215,32.09,27.00,-5.90
24-December-2020,1075.00,1139.95,1056.55,1069.25,1095.319338475727341326,47708,4181,52255495.00,17809,37.33,83.40,-5.75
23-December-2020,1011.00,1060.00,1001.10,1048.35,1040.195626285590559705,9237,1326,9608287.00,4777,51.72,58.90,37.35
22-December-2020,958.30,1013.45,887.15,1003.95,958.072815915703389164,12717,1093,12183812.00,4711,37.04,126.30,45.65
21-December-2020,997.05,1016.75,898.05,957.15,973.063903743315508021,18700,3182,18196295.00,10880,58.18,118.70,-39.90
18-December-2020,1043.70,1043.70,990.00,997.45,1007.870002200865673831,13631,1916,13738276.00,9138,67.04,53.70,-46.25
17-December-2020,1055.20,1058.30,1039.10,1041.55,1043.940341539143934353,4509,536,4707127.00,2717,60.26,19.20,-13.65
16-December-2020,1035.20,1057.05,1032.30,1049.25,1041.055757575757575757,4125,591,4294355.00,2330,56.48,24.75,14.05
15-December-2020,1016.10,1044.45,1016.10,1037.85,1038.320098817716604905,5667,2586,5884160.00,4434,78.24,28.35,21.75
14-December-2020,1040.00,1049.95,1028.00,1030.35,1037.606088992974238875,6405,902,6645867.00,3414,53.30,21.95,-9.65
11-December-2020,1016.00,1048.35,1012.45,1037.15,1033.298935677926885701,4322,635,4465918.00,2166,50.12,35.90,21.15
10-December-2020,1040.40,1068.00,1027.60,1032.65,1047.090156039298786361,5191,616,5435445.00,1999,38.51,40.40,-7.75
9-December-2020,1045.00,1045.00,1025.00,1027.55,1029.836891078270388615,1827,318,1881512.00,1407,77.01,20.00,-17.45
8-December-2020,1049.00,1053.60,1020.15,1034.90,1036.005435677812551474,6071,818,6289589.00,3175,52.30,33.45,-14.10
7-December-2020,990.00,1072.05,990.00,1040.25,1036.535758761786159046,22484,2829,23305470.00,16545,73.59,82.05,50.25
4-December-2020,1013.00,1035.00,1007.65,1014.55,1015.798155442405610529,10409,1086,10573443.00,5563,53.44,27.35,1.55
3-December-2020,1044.50,1057.50,1021.00,1025.85,1035.897923875432525951,5780,1125,5987490.00,3203,55.42,36.50,-18.65
2-December-2020,1037.00,1067.50,1037.00,1051.35,1051.931337503723562704,6714,1156,7062667.00,4067,60.57,30.50,14.35
1-December-2020,1064.60,1071.75,1026.50,1042.05,1044.014208826695371367,4645,638,4849446.00,2333,50.23,45.25,-22.55
27-November-2020,1079.00,1099.90,1051.35,1059.45,1080.415596766524013314,14721,1615,15904798.00,7662,52.05,48.55,-19.55
26-November-2020,1006.00,1080.00,1005.00,1073.35,1055.394278339427833942,13947,1363,14719584.00,7578,54.33,75.00,67.35
25-November-2020,1057.15,1102.90,1016.90,1029.10,1074.526921529175050301,24850,1912,26701994.00,8320,33.48,86.00,-28.05
24-November-2020,1004.90,1054.60,1004.90,1050.40,1037.047114093959731543,7450,742,7726001.00,5112,68.62,49.70,45.50
23-November-2020,1040.00,1044.10,987.15,1004.40,999.209789505488971699,9929,1103,9921154.00,4079,41.08,56.95,-35.60
20-November-2020,1020.00,1045.00,1012.35,1031.25,1026.202799285288862418,3358,538,3445989.00,1718,51.16,32.65,11.25
19-November-2020,994.20,1024.35,993.00,1014.65,1010.451433309642264866,8442,731,8530231.00,4444,52.64,31.35,20.45
18-November-2020,990.10,1017.90,985.30,993.00,993.577106863596872284,4604,708,4574429.00,3210,69.72,32.60,2.90
17-November-2020,1025.00,1027.10,995.65,1000.00,1006.586876891224717311,6279,819,6320359.00,3449,54.93,31.45,-25.00
14-November-2020,1025.00,1025.00,1011.00,1018.85,1018.525599481529488010,1543,98,1571585.00,1197,77.58,14.00,-6.15
13-November-2020,976.00,1022.00,976.00,1011.35,1008.574445162680456798,4641,769,4680794.00,3126,67.36,46.00,35.35
12-November-2020,1000.00,1017.00,981.60,989.95,998.321352313167259786,8430,1085,8415849.00,5124,60.78,35.40,-10.05
11-November-2020,1049.50,1063.00,1007.35,1007.85,1023.716370454916028045,12266,1943,12556905.00,7860,64.08,55.65,-41.65
10-November-2020,1020.00,1063.85,1009.10,1060.35,1042.286200393571662840,24392,1851,25423445.00,15872,65.07,54.75,40.35
9-November-2020,1010.05,1030.00,993.05,1013.20,1011.198628820401102069,15607,2970,15781777.00,11696,74.94,36.95,3.15
6-November-2020,963.80,1018.00,950.00,996.95,983.514707779641336601,15502,1885,15246445.00,9246,59.64,68.00,33.15
5-November-2020,964.90,971.00,960.20,969.55,967.880201188843164151,2187,311,2116754.00,1427,65.25,10.80,4.65
4-November-2020,955.00,969.00,937.80,955.05,948.731105470953186689,7092,1269,6728401.00,5664,79.86,31.20,0.05
3-November-2020,967.25,971.00,953.00,968.45,964.193203573707721761,6268,1081,6043563.00,3323,53.02,18.00,1.20
2-November-2020,946.65,969.80,940.00,956.95,954.781203232565100269,16705,2363,15949620.00,12800,76.62,29.80,10.30
30-October-2020,880.50,934.75,880.50,933.90,927.972059779077322936,7695,552,7140745.00,4338,56.37,54.25,53.40
29-October-2020,900.00,924.05,880.00,890.25,895.476138828633405639,6454,944,5779403.00,3791,58.74,44.05,-9.75
